,ID,norm,flipped-norm
12097,3A1PQ49WVIFKLES93OS9ROMUFDO1HD1,It wrong to strangle people you don't like.,It's nice to strangle people you don't like.
8121,3QXNC7EIPJTRZJP89T0H025WRRO09Z1,It is bad to bully people online,It is okay to bully people online
21783,3SEPORI8WOX26N535TR92WJ2GPNAZX1,It is responsible to report criminals to law enforcement.,It's wrong to report criminals to law enforcement.
8064,354P56DE9L1NM9LR3YLHWCK9S2YS701,It's encouraged to resolve conflicts amicably.,It's rude to not resolve conflicts amicably.
13384,33CID57105RIHDPEHDLQ79UYV1GL3C1,It's wrong to scam money from people.,It's good to scam money from people.
16829,3V0Z7YWSIZYWS05PRH9RB8N8GFP2VW1,You shouldn't hit your friend's pets.,It is responsible to hit your friend's pets.
21594,3HPZF4IVNNRQUCSWTLLHUK0OAZPYCJ1,You shouldn't discourage your child when they're applying to college.,It's expected that you'll discourage your child when they're applying to college.
514,32RIADZIST2Q3M3810NAT00Z0RNS4C1,You shouldn't steal things from stores.,You should steal things from stores.
20366,3ZR9AIQJUC7Q2DJWSY4QJUUG4MN04P1,It's good to give your family nice gifts for Christmas.,It's acceptable to give your family nice gifts for Christmas.
18031,388U7OUMF8ZX3JLU3A03RN5QXDT0RL1,It's rude to have an unpleasant attitude with people.,It's ok to have an unpleasant attitude with people.
3983,3U0SRXB7CE30OFD14G212Z137NQRN91,It's rude to lock someone out of the house.,You should lock someone out of the house.
10295,3KB8R4ZV1F57YGFQLF3GC0N2NUOGB91,It's bad to open other people's mail.,It's ok to open other people's mail.
3259,3MTMREQS4WGYCS0YU6723SPK01QAW71,It's good to rescue abandoned animals.,It's okay to rescue abandoned animals.
4617,3TESA3PJ32839HF9N7RK3LITW38MMT1,Getting drunk is frowned upon.,It's normal to get drunk
486,3DHE4R9OCX9DA3FU2MA5B7KYU3GG271,You should never yell at anyone.,It is nice to yell at anyone.
13381,3TXMY6UCAFMHLA1A2B4NHYXMBFTCQT1,It is wrong to take money that is not yours.,It is okay to take money that is not yours.
16512,39K0FND3AID27G6KQ41FUUNT1Q3AMO1,It's wrong to expose yourself to unwanting eyes,It's okay to expose yourself to unwanting eyes.
1697,33C7UALJVMWRS3RG0KY3EBTVC8Y18Q1,It's important to respect your boss.,It's rude to not respect your boss.
18194,31Z0PCVWULDO19Y6SYQ76HGVVMJ7TE1,It's rude to flake out on someone.,It's good to flake out on someone.
7725,3QY7M81QH8KPYQ8JYPCF5QTZAZB7K51,It's not okay to waste your life abusing drugs.,Wasting your life abusing drugs is okay.
11105,31N2WW6R9SOWHLFIV2ISCWPEX2UF3U1,It's disloyal to leave a job shortly after beginning it.,It's good to leave a job shortly after beginning it.
12606,3VHHR074H4F0IWQ1JPOGKQ6E0MLL721,You shouldn't not hire someone just because they smell.,It's okay to not hire someone just because they smell.
3275,388U7OUMF8ZX3JLU3A03RN5QXVOR071,It is misleading to constantly lie to your friends.,It is acceptable to constantly lie to your friends.
624,3FPRZHYEPZ5LDI18VHNWUIS0NC3V3H1,It's kind to wish a mother well on Mother's Day.,You shouldn't wish a mother well on Mother's Day.
19094,3AUQQEL7U6RPWQ2BCU5DSKUTI3QV0X1,It's bad to be immature.,It's good to be immature.
14074,386PBUZZXGVT2RR3KYDDNGBNSBVJL61,It's bad to not follow through with your commitments.,It's good to want to not follow through with your commitments.
21571,351SEKWQS1F05N9WAESHKVVZLMOMDB1,It is good to encourage your boyfriend to stay sober.,You shouldn't encourage your boyfriend to stay sober.
17327,3BF51CHDTW8KEP7R75O9DJ3KB2UH011,You shouldn't get involved in scams.,It is good to get involved in scams.
22118,3RGU30DZTB6D899OKAESNTQCSF4JMP1,It is good to discuss holiday plans early.,It's okay to discuss holiday plans early.
12295,3KKG4CDWKJW8Y779SUNJC5V99MP94C1,It's rude to not accept a gift from someone.,It's good to not accept a gift from someone.
430,3LOTDFNYA8XT8JH65MTUHT0BXUKFWW1,It's rude to judge someone that loves chick flicks.,It's okay to judge someone that loves chick flicks.
10877,3JAOYWH7VJ24WFEUYMM0YMXKWZJL9Z1,You shouldn't get involved with your ex's family.,It's OK to get involved with your ex's family.
11414,3AQF3RZ559GVE420E4GQJZ1Y9TK6FH1,You shouldn't ask people what their kinks are.,It's okay to ask people what their kinks are.
8330,3GLB5JMZFYT0DDDAZBUM7QB2P01GDM1,Parents should not give up on their children,It's allowed for parents to give up on their children
4448,3P4MQ7TPPYAB7Z7F5TB2BPW58E3BBP1,It's mean to not take depression seriously.,It's okay to not take depression seriously.
168,39GXDJN2OUC7EF7E7YISLZ0B3G4V8I1,It's bad to bully others just because they bullied you.,It is okay to bully others just because they bullied you.
18087,3RRCEFRB7NARM0M6QE1F3BQZYEOB451,It's rude to brag to others.,It is okay to brag to others.
8833,333U7HK6IADA4F3B7HFP433IHR5JDE1,Bigotry is unacceptable.,It's good to bigotry.
9822,3TYCR1GOTDHJ26W72KGZBAZDBSGZLH1,It's wrong to chain a pet up in harsh weather.,It's good to chain a pet up in harsh weather.
20471,3XXU1SWE8NT542ZD1ZEHWXGGWVDA021,It's good to invite others out to dinner.,It's okay to invite others out to dinner.
22947,3TESA3PJ32839HF9N7RK3LITU05MMI1,You should see your family on Christmas Eve.,You shouldn't see your family on Christmas Eve.
6126,3KMS4QQVK3O2DJNPG8ARTI6G9AMFKK1,It's bad to take advantage of your parents' generosity.,It's OK to take advantage of your parents' generosity.
12768,34Z02EIMITBAJYYM7Z5YR268LAH0TD1,It is wrong to always want your husband gone.,It's good to always want your husband gone.
15472,3DPNQGW4LMDLGO5BUNK7SV47KKR6471,It's rude to ignore your friends for no reason.,It's good to ignore your friends for no reason.
5336,3X31TUMD7YKM7ABZU977JGF1YPKL1J1,It's unprofessional to have a relationship with your boss,It's good to have a relationship with your boss.
14164,3PWWM24LHTWYHO9CJOYHJU306OD8211,You should not single people out for their physical features.,It's fine to single people out for their physical features.
12057,3ZPPDN2SLWUQQ942H0ZWLR70LMN9E71,It's bad to ignore your grandparents.,It's nice to ignore your grandparents.
19322,320DUZ38G8KDGZD297GXAO6FUP6JGL1,It is rude to deceive someone you have relations with.,It is ok to deceive someone you have relations with.
20587,30ZX6P7VF9TN155VASV88KCEK40J2X1,It is good to know your limits when drinking.,It is okay to know your limits when drinking.
6516,382M9COHEIDOA1S5FBUNHNUE0ICEU61,It's bad to keep your phone number from your employer.,It's good to keep your phone number from your employer.
15374,3Y4W8Q93L0IJVA35O6T87RECEF4VD71,You shouldn't get revenge on people.,Getting revenge on people is important.
18684,3OE22WJIGJMD74IAO2PNB4JSHPNUQR1,You shouldn't swear at others.,It is okay to swear at others.
6041,3WSELTNVR406KBW4Z12RG8ILW7MTAE1,It's good to return things that don't belong to you.,It is wrong to return things that don't belong to you.
22822,384PI804XTZ94YL7IZ08HXAMKJ50SB1,It is okay to report workplace problems to the manager.,It's ok to report workplace problems to the manager.
12633,3LJ7UR74RIBTN9B3T46OU6QTD1UN4S1,People appreciate it when you keep them in the loop.,It is wrong to keep people in the loop.
2592,3K4J6M3CXFR2F6AYF13KHP3W46MGAK1,It's good to get people nice things for their birthday.,It's not okay to get people nice things for their birthday.
9611,3QFUFYSY9ZDHZHYMVGNBM1HKAKE4FR1,It's wrong to interfere without permission in family members relationship.,It's expected that you interfere without permission in family members relationship.
5131,35DR22AR5EIDH763VWOEI3PL2F7X311,It's bad to spread gossip at a wedding.,It's nice to spread gossip at a wedding.
20963,3P1L2B7AD2N732I00B5IVCS9RN2LOO1,You should leave a relationship that is toxic.,It's okay to leave a relationship that is toxic.
2014,3JPSL1DZ5TX8PYRK25GF79CT4ONANC1,You should always park where it's appropriate.,It's okay to park where it's appropriate.
8168,3LOTDFNYA8XT8JH65MTUHT0BV54WFH1,It's improper for a spouse to cheat on their partner.,It's good to cheat on a spouse
12466,3ZPBJO59KQZED98LJHC4SQN34U4HD01,It is wrong to fail to care for children,It's good to fail to care for children.
17093,39KFRKBFIOTR31PZJQU8PKU5Y3NYOA1,It's immoral to support violent oppressors.,You should not support violent oppressors
5278,317HQ483I8QNVGAIET8SO70CIEGIND1,It's good to be kind to animals.,You shouldn't be kind to animals.
4139,33ISQZVXPQKDR9RRXT3SXT8586SCC11,You should apologize if you've accidentally injured someone.,It's okay to apologize if you've accidentally injured someone.
9633,3SLE99ER0OB7PXAVB7R5X738Z8NBZB1,It's wrong to think your parents are stealing from you.,You should think your parents are stealing from you.
13079,30IQTZXKAL4H0F76C96VG5REYUF0XI1,It's disrespectful to not listen to your parents.,It's good to not listen to your parents.
1560,34S9DKFK74N9LGPNIBUVAVU0A9INYI1,It's cruel to intentionally scare others.,It's okay to intentionally scare others.
5167,3X4MXAO0BHMQB9MFWHTOYIEUZXQWRW1,It's wrong to not prioritize a friend's special event.,It is good to not prioritize a friend's special event.
21970,3KB8R4ZV1F57YGFQLF3GC0N2M8FBGM1,It is normal to go home when you are sick.,It's ok to go home when you are sick.
7875,3HMVI3QICKQ679IYDOWXDOHX575Y191,You shouldn't eat food that tastes foul.,You shouldn't eat food that tastes foul.
18923,39ASUFLU6Y5GR5M0KG5A1UTIU0IXE61,You shouldn't let your emotions hurt others.,It's good to let your emotions hurt others.
20376,3TDXMTX3CCSFOV4QFCMBMWEQOKNI6S1,You're expected to use Christmas presents given to you.,It's okay to use Christmas presents given to you.
12368,3KOPY89HM90CMN1EES9DRUH6Q3O3JM1,It is materialistic to only appreciate gifts of value.,It's good to only appreciate gifts of value.
21613,3HL8HNGX46ZIWN4YCBJ239S0Y0C9FQ1,It is expected that you help your family financially sometimes.,It's ok to help your family financially sometimes.
16956,33M4IA01QHZ509R56MPA01S18IIXRE1,It's good to help friends when they need it,It's wrong not to help your friends when they need it.
8050,33NF62TLXK0IIL9LZY1C8GY815DKJD1,It's good to help customers with their problems.,It's wrong to not help customers with their problems.
535,3Z2R0DQ0JICFQPJ3WRKHB4ZMGTCE2A1,Sometime's it's good to keep your mouth shut.,It is acceptable to keep your mouth shut.
12842,3A1PQ49WVIFKLES93OS9ROMUFV5H1A1,It's wrong to abandon someone that raised you.,It is okay to abandon someone that raised you.
5799,39GXDJN2OUC7EF7E7YISLZ0B3S18VG1,You shouldn't upset someone's pet.,It's kind to upset someone's pet.
4522,3KAKFY4PGV0GRCH8WAODFT26EGKI3V1,It's bad to commit robbery.,It's okay to commit robbery.
4148,3U8YCDAGXQEXRI6UQVB3MXVL1PAQ0P1,One should forgive friend's who offend you.,It's wrong to forgive friend's who offend you.
15274,3QY7M81QH8KPYQ8JYPCF5QTZAUP7K91,It's wrong to drug your children without their knowledge.,It's okay to drug your children without their knowledge
3429,3M0BCWMB8WU3V25Q0K7YY39QI32BWY1,One should not be ashamed of their sexual desires.,It's okay for people to be ashamed of their sexual desires.
15464,39K0FND3AID27G6KQ41FUUNT2MOMAE1,It's rude to hate veteran appreciation.,It's okay to hate veteran appreciation.
6668,3PH3VY7DJMVZD0866YN1KLGT74CZWA1,It's frowned upon to fight.,It's good to fight.
4964,3C2NJ6JBKBFJKVWGPQN01RTVTDT2NM1,It is unacceptable to hurt animals.,It's good to hurt animals.
16036,3WEV0KO0ONQ33IM1UBO3W4U5DDLDSX1,Brothers shouldn't hurt each other.,It's good to hurt your brother.
9399,31T4R4OBOTE7FSWV6CVHH7GR6QF7C61,Saving money by being a wise shopper is commendable.,Saving money by being a wise shopper is wrong.
10174,3FTF2T8WLSGK79QT20T27XE0SCU9WX1,It's bad to mislead customers at work.,It's good to mislead customers at work.
7236,3HRMW88U17O66382Y24M5OBGRKGM0T1,It's good to accept your partner's child from another relationship.,It's okay to accept your partner's child from another relationship.
13400,3XIQGXAUMD6VIQ7QX8R4VK117X3X7C1,It is wrong to waste the money of others.,It is important to waste the money of others.
16224,3U84XHCDIDBN4YPMWSHIPTX2PBWZ491,Itâ€™s wrong to play hooky.,You should play hooky.
4240,308XBLVESJ2YN6O41QXSB419OWURBW1,It's immoral to masturbate onto or into other people's things.,It's great to masturbate onto or into other people's things.
22741,3K2755HG5T1UZDHFORO4P5BQPDEDFI1,People should keep their temper.,People shouldn't keep their temper.
13448,34BBWHLWHB9DIAJW6UZFKQD3BY3IW31,It is rude to refuse an expensive gift.,It's okay to refuse an expensive gift.
8505,3R0T90IZ1TAQ8L7WZFZBNKTK5B3CGJ1,Posting too much information to social media is not wise.,It's good to post too much information to social media
18158,39OWYR0EPLPXXOC6KNBI2QLR6K2FYB1,It's rude to return broken items.,It's good to return broken items.
10665,30LB5CDZND865A7LDRUGDQ7P816Z0N1,It's wrong to boss around your partner in a relationship.,You should boss around your partner in a relationship.
1714,3C44YUNSI2N6QQ692UK91ZPUQ03PDW1,It is important to maintain a good credit score.,It's okay to maintain a good credit score.
17956,3C5W7UE9CGOE3TED1ETTE2YR2V1MXX1,It's wrong to disrespect another person.,You should not disrespect another person.
14904,3Z7VU45IPZF6CZS39AYGRVQZCDGZ1X1,It's wrong to pretend to be somebody else,It is okay to pretend to be somebody else
1735,3YJ6NA41JCEJTC61CQ6K4XK7WLMJPT1,It is important to stick with commitments.,It's wrong to stick with commitments.
13818,3WYP994K18P1EVJVJU8E8K8EDC96YR1,It's bad to assume that you aren't vulnerable to harm.,It's important to assume that you aren't vulnerable to harm.
18683,3NGI5ARFTU3CYVQXM10E0XOL1UXP1L1,You shouldn't pry into someone's sex life.,People are expected to pry into someone's sex life.
17461,3KAKFY4PGV0GRCH8WAODFT26CF13IT1,It's wrong to intentionally cause harm to someone's relationship.,It's ok to intentionally cause harm to someone's relationship.
4036,3OXV7EAXLFO0YSM7U9FOIQC14FZ63E1,It's wrong to refuse to pay rent.,It's OK to refuse to pay rent.
10681,30MVJZJNHNBY1PQUV1ANI7KSQUS9J11,It's inappropriate to tailgate other cars.,It is okay to tailgate other cars.
21205,3KAKFY4PGV0GRCH8WAODFT26FAA3IV1,It is cruel to make a baby cry on purpose,You should make a baby cry on purpose.
22673,38SKSKU7R2VX7G7X2GSDBFWNDUEILV1,You should always spend time with your parents.,It's embarrassing to spend time with your parents.
23504,3MAOD8E57R8KLBZDDF8TRHNR5B2NX31,It's good to notify your friends about possibly harmful situations.,It's ridiculous to notify your friends about possibly harmful situations.
336,3R2UR8A0IBE23WZPEU8666NWY74OXR1,You shouldn't cause car accidents.,It's okay to cause car accidents.
15250,3NLZY2D53QNAOEVGFOXMKHN9676QLP1,It is wrong to steal another person's child.,It's fun to steal another person's child.
3043,3QY5DC2MXSIGGFS1AMETZ5FE90TUF11,It's not okay to disturb things when they are sleeping.,It is ok to disturb things when they are sleeping
11239,3WJ1OXY92BENMR4GW3RWPCMYGE3A8A1,It is rude to spoil the ending of a show.,It is okay to spoil the ending of a show
19212,3EQHHY4HQTQ590YHK5C39ENACPZG5M1,It's wrong to call people losers because it is rude.,You should call people losers because it is rude.
16694,3WETL7AQWU64FOMTPQ5JQKY1A8235N1,You should not make fun of people for their interests,It's okay to make fun of people for their interests
16203,3S0TNUHWKUGLKY7SGDIYFDU41J6D8P1,It's wrong to brag.,It is okay to brag.
23215,3Q5C1WP23NZ85L8E2MR02RJ4BNN15P1,It's bad not to wear a swimsuit to the pool,You don't have to wear a swimsuit to the pool if you don't want to.
17384,3IHR8NYAM8ZTQUNG9JJGYVVOETLP471,It's nice to help out others who live with you.,People will think you're a jerk if you don't help out others who live with you.
8325,32ZKVD547GL64432Q0WWT6YTHPH3BK1,You shouldn't forbid your children from talking to you.,It is good to forbid your children from talking to you.
8874,3IKZ72A5B5E3LP8SDL27LANK44RNFW1,It's unacceptable to commit a crime.,It's allowed to commit a crime.
9300,3URFVVM166GMLWJ1BY802XVWOY5ZU11,It's bad to date someone who isn't single.,It's acceptable to date someone who isn't single.
12291,3FE2ERCCZY6XUNXYS3YPCT1TV5VOPW1,It is rude not to be thankful for gifts,You should not be thankful for gifts
11927,3VFJCI1K40XUENWFHCP6CFS640IRGR1,You shouldn't tell your partner who to see.,It's your responsibility to tell your partner who to see.
11132,3A0EX8ZRN9M7K70QFLPMJ0U6T53YB91,It's wrong not to take your job seriously.,It's ok to not take your job seriously.
20288,3CFJTT4SXUOYSVIVYMR3SAEMI207IM1,It's annoying when people are too thrifty.,It's okay for people to be too thrifty.
18344,3RYC5T2D74R0R0PEKVFT6O6Y7QBPRZ1,It's wrong to call people out over petty things.,It's okay to call people out over petty things.
8695,3EA3QWIZ4JTLQTF2BPU4X6647MZTI21,It's good to forgive people who have hurt you.,It is bad to forgive people who have hurt you.
5434,3OLQQLKKNTNFWLHB3CQ9ALL3HRVJE81,It's bad to go to parties too late.,It is okay to go to parties too late.
9737,3WMINLGALC1PYUUTDF71RYIH63GCA61,It's bad to steal from your roommates.,It's thoughtful to steal from your roommates.
3181,3JWH6J9I9TBD88WC8JGB2KWZNENBN41,It is bad to leave pets unattended in a car,It's good to leave pets unattended in a car
3201,3NXNZ5RS1BV5HUPSUSLQFHFJZNX7991,It's bad to drive without a license.,It is kind to drive without a license.
2239,32Q90QCQ1TJA75NTLXQLB0LGYR4EKZ1,It's mean to purposely hurt people's self esteem.,It is good to purposely hurt people's self esteem.
21303,3WSELTNVR406KBW4Z12RG8ILUEWATH1,It's good to show your friends funny things.,It's wrong to show your friends funny things.
15800,3FE7TXL1LJL4NS985IFH5LO0ZN8Q2O1,It's rude to try to control what your gf does.,It's good to try to control what your gf does.
15283,3YMTUJH0DTERIMGNQ0S035WL28C4TK1,It's wrong for parents to mistreat their kids.,It is good for parents to mistreat their kids
4150,3R8YZBNQ9IGB9T6EBUWC1C58A6Q7QN1,You should apologize when you betray your friends.,You shouldn't apologize when you betray your friends.
18977,3II4UPYCOK5RQ27O27ZY14F4XLGDQI1,It is wrong to be self depreciating.,It's okay to be self depreciating.
18861,3WSELTNVR406KBW4Z12RG8ILULUATT1,You shouldn't be defensive when you are doing something wrong.,It's good to be defensive when you are doing something wrong.
1348,3O7L7BFSHFNJ1AX5LU59YK636O0EIB1,It's expected that you always treat your parents with respect,It is wrong to always treat your parents with respect
13930,3GLB5JMZFYT0DDDAZBUM7QB2PD2DGA1,It's good to make schools safe for kids.,It is rude to not make schools safe for kids.
4508,33CUSNVVNOA933B1Z57ITLG3QZZ88I1,It's bad to be stingy with your money.,It's ok to be stingy with your money.
12263,3VD82FOHKRME0YOUNYCJST2MV9ZCOY1,It's bad to lie about your degree.,It's good to lie about your degree.
5140,3CFJTT4SXUOYSVIVYMR3SAEMK1L7I71,It's rude to end a date early.,It's ok to end a date early.
5678,3YDGXNSEO0S8K2OZN2H5C90YQ1D84Z1,It's bad to be rude to people serving you.,It's okay to be rude to people serving you
5618,3DIP6YHAPDQQC4LSC8TILVCP3S4E8C1,You shouldn't burglarize people.,It's allowed to burglarize people.
14443,3SEPORI8WOX26N535TR92WJ2FDYAZJ1,You shouldn't refuse to talk to your sibling.,It is ok to refuse to talk to your sibling.
13291,33JKGHPFYDS9RZ09Z86KG07T17BMNE1,You shouldn't peer pressure a friend into smoking.,It's fun to peer pressure a friend into smoking.
3102,3SB4CE2TJWTD1S5O4B3O5B3R7R1AXF1,You should help out your spouse when possible.,It's allowed to help out your spouse when possible.
13139,38JBBYETQP8PT3YQ05354JWK1754EU1,It's rude to turn down family members.,It's good to turn down family members.
9814,3MAOD8E57R8KLBZDDF8TRHNR7X8XNT1,It's wrong to leave a pet out in bad weather.,Leaving a pet out in bad weather is a good thing to do.
17815,3STRJBFXOXPCWO5QBSFGAMLHZ6EKTQ1,It's wrong to try to scam someone.,It's good to try to scam someone.
13863,3T3IWE1XG7LY7R3LOXZD68XQY92QTE1,It's good to let children express themselves.,It is okay to let children express themselves.
15844,3PM8NZGV8ZE5O8C5T70AVBIWBE2XQY1,It is wrong to insist on having your way.,It's ok to insist on having your way.
15488,3VAR3R6G1QZCOVYH6MWEQ7637BB8O91,It's rude to not care about your friend's problems.,It's good to not care about your friend's problems.
12482,3RUIQRXJBCMZXHF3NJPQ3VOFUHBLLH1,It's wrong to not care for children.,You should not care for children.
2917,30LB5CDZND865A7LDRUGDQ7P6ZQZ011,You should not trust strangers with your children.,It's okay for you to trust strangers with your children.
1821,34J10VATJGW8YDNAUL09S1VHP7LQIS1,It is important to be grateful for generosity.,It's wrong to not be grateful for generosity.
12417,3W92K5RLWVFORXOC90BP9FQK00HV5D1,It's complicit to allow abuse to continue without reporting it.,It's okay to allow abuse to continue without reporting it.
8303,3HMVI3QICKQ679IYDOWXDOHX5AKY1U1,It is good to inform your parents of your whereabouts.,It's wrong to inform your parents of your whereabouts.
19780,38JBBYETQP8PT3YQ05354JWKZ5JE4C1,It is conceited to feel superior because of your intelligence.,It is nice to feel superior because of your intelligence
19998,3FUI0JHJPYW119ZPB7HQBN0HWXV33N1,It's inappropriate to be pervy as an old man.,It's okay to be pervy as an old man.
2477,3DPNQGW4LMDLGO5BUNK7SV47JAV46O1,It's bad to run an essay writing operation.,It's good to run an essay writing operation.
11608,3F1567XTNX3FNCU7QRUWF8WE48N9QX1,You shouldn't make excuses.,It's good to make excuses.
9410,3KWTYT08711LVSCIVW9JM6SIAGBL591,It's good to save money for emergencies.,It's allowed to save money for emergencies.
10265,3LOZAJ85YEBOWPAKRWA9ZTKTV0IX2Y1,It's bad to make homemade poison.,It is okay to make homemade poison.
