index;rot-judgment;is optional
13;understandable;
22;should;
26;okay;1
90;expected;
181;ok;1
244;normal;
256;good;
301;you shouldn't;
321;rude;
403;you should;
595;reasonable;
745;people are expected;
770;have a right;
1017;acceptable;1
1155;important;
1220;reasonable for someone;1
1230;its okay;
1240;expected.;
1270;right;
1323;you are expected to;
1364;doesn't mean you have to;
1373;you should always;
1378;fine;
1506;t's okay;
1598;there is nothing wrong with;1
1611;not okay;
1655;fair;
1966;customary;
1999;expected you will;
2120;you have a right to;1
2172;have the right;
2330;common;
2730;you're expected;
2939;your right;
3144;perfectly acceptable;1
3230;its expected;
3605;expected that parents;
3847;normal for roommates;
3878;okay.;
3947;have the right to;
3951;you have right;
4029;has the right;
4050;you do not have to;1
4085;its ok;
4127;wrong;
4184;you're expected to;
4277;you should always do it;
4306;need to;
4388;children should;
4911;you are expected;
5571;allowed;1
5600;it should;
5683;appropriate;
5863;people should;
5968;friends are expected;
6071;you are are always right;
6207;should always;
6250;you should try;
6288;ought to;
6466;encouraged;
6546;you don't have to;
6582;expected to;
6666;fun;
7008;expected that a parent;
7138;honest to;
7601;its reasonable;
7714;you should try your best;
7769;shouldn't;
7971;you have a right;
8059;expected that not all people;
8154;don't have to;
8283;ok to not;
8382;not obligated;
8522;you have the right;
8596;sensible;
8600;compassionate;
8607;you always should;
8624;you have to;
8823;one should;
8938;you have;
9562;you're not expected;
10087;there is nothing wrong;
10090;there's nothing wrong with;
10226;okay to;
10593;they are expected to;
10598;people expect;
10610;people are expected to;
11048;don't have;
11368;are expected;
11494;partners are expected to;
11720;expected that a kid;
12527;responsible;
12878;supposed to;
13389;you are allowed;
13541;roommates are expected;
13597;married people are expected;
13772;polite;
14273;its understandable;
14617;its fine;
15209;mandatory;
15399;you are supposed;
15472;usual;
15576;a person has a right;
15809;you have a responsibility to;
15858;you really should;
15995;its acceptable;
16373;friends should try;
16374;you need to communicate;
16449;understable;
16530;don't need;
16619;always your choice;
16973;might;1
16978;not your problem;
16980;you can;1
17128;not required;
17135;a person has right;
17284;responsible to;
17759;you're supposed to;
17918;partners are expected;
18305;you're supposed;
18716;valiant;
18783;can;
18940;people always should;
19343;she can;
19458;best;
19468;proper;
19581;acceptable, if honest;
19583;you are within your right;1
19598;okay to be mad;
19679;have a right to;
19830;won't;
19904;family is expected;
20480;wrong not to;
21074;healthy;
23211;required;
23263;its good;
23327;your prerogative;
23689;understood;
23690;n't unusual;
23918;you have the right to;
23984;good to;
25043;wise;
25095;coworkers and managers should;
25293;natural;
25612;unerstandable;
25703;nice;
26542;righteous;
26852;not expected;
27019;normal to;
27450;you are not obligated;1
27801;a personal decision;1
28663;always;
29022;they should;
29284;you don't;
29288;you're allowed;
30091;allowed to;
30251;are expected to;
30340;you're allowed to;1
31353;a good idea;
31382;admirable;
31504;sometimes;
31808;you have to right to;
32186;they have the right.;
32436;you must;
32546;roommates should;
32756;children are expected;
33068;don't;
33208;aren't required;
33302;should not;
33624;will;
34384;parents should;
36421;you are;
36444;you should be;
36550;sometimes you must;
37302;sometimes they need to;
37606;must;
37866;ok to;
38122;you are required to;
38453;they are suppose to;
38525;players are expected;
39262;people often;
40960;flatmate are expected;
41350;that's okay;
41542;partners should;
42146;an appropriate response;
42790;the right thing to do;
44208;expected that people in relationships;
44211;smart;
44275;it makes sense;
44365;n't allowed;
45129;you aren't required;1
45335;everyone should;
45559;understandable that sometimes;
45650;expected that a friend;
46822;insensitive;
47118;its normal;
47644;you're free to;1
48757;understandable that people;
49112;understandable that some people;
49582;expected that most kids;
51933;expect;
53167;perfectly normal;
54617;n't required;
55700;inevitable;
57280;not your business;
57392;its healthy;
59146;you are right;
59521;parents are expected;
59601;n't necessary;
59602;its best;
59771;there is nothing wrong with;
61022;sometimes have to;
61096;n't ok;
61358;understandable sometimes people can't or don't want;
61528;requiring;
62000;best to;
62216;a right;
62494;not wrong;
63262;are allowed;
64443;should be sincere;
64994;nothing wrong;
66408;perfectly healthy;
66912;no reason to;
67034;good.;
68466;understandable that work;
68520;may;1
68914;one should always;
69108;you should not;
69110;it''s okay;
69236;you need to;
69899;prefer;
69951;perfectly fine;
70813;both parents are expected;
71354;alright;
71873;supposed;
72710;family members are expected;
73035;workers are expected;
73188;understandable that people don't always;
73290;relationships are expected;
73442;expected to always;
74209;uncomfortable;
75118;common courtesy;
76739;there is no problem with;1
77057;aren't expected;
78782;wrong.;
80089;understandabl;
80955;glorious;
81619;you are allowed to;
82090;expected that a person will back off.;
82436;hurtful for a long-term partner;
83209;try to always;
84107;difficult;
86728;you can be expected to;
86773;embarrassing;
86895;unpleasant;
87608;you can be expected;
91493;adults should be able;
91885;should.;
93781;great;
95697;family members should;
97097;deserved;
97368;imperative;
97544;critical;
98529;it’s expected;
100077;parents are expected to;
100372;its important;
101657;it normal;
102953;you're encouraged;
106013;understand;
107206;have a hard time;
108133;honest;
109317;can be expected;
109514;you should try to;
109799;you should avoid;
111220;should be able;
113087;expected for children;
113205;understandable to;
116430;society expects everyone to;
117644;people will think you're sick;
120165;you should be able to;
121135;normal.;
122015;accepted;
123171;owners are expected;
123421;in the interest of society;
123460;not okay.;
126117;you'll get;
126585;expected that you will;
127746;kind;
129827;encouraged.;
130341;can't.;
131681;should expect;
131926;you're encouraged to;
137216;partners should be able to;
137619;are supposed;
138001;you can't;
142104;nice to;
143342;understandable.;
145286;t is okay;
148302;everyone is expected;
150365;people are encouraged;
152994;it’s okay;
155747;fine to;
157020;reasonable.;
163414;traditional;
163454;exoected;
165456;depressing.;
167609;n't expected;
168593;a woman's right;
171993;bad;
174021;step parents are expected to;
175418;it good;
175678;responsible for;
175972;expected that;
178330;permissible;
178548;sometimes expected;
178610;smart.;
178878;standard;
178972;families are expected;
179444;should try;
180374;should  never;
180397;your responsibility;
181835;t's understandable;
182999;mean;
183556;people expect you to;
183664;it’s understandable;
184065;okay if you're scared to;
184884;it’s important;
187872;teachers are expected to;
189090;useful;
189710;parents are supposed to;
191137;normal for husbands;
192048;crucial;
192688;understood sometimes;
193020;boyfriends are expected;
193132;normal for people;
195489;important to;
197677;desirable;
199722;are supposed to be;
202264;noble;
202810;can't;
203174;up to you;
203875;its is normal;
205807;fairly normal;
207836;friends are expected to;
207842;totally fine;
208507;ordinary;
208510;better;
208648;one can;
211164;encouraging;
211893;you should always try;
212174;fine.;
212828;you're free;1
213386;it can be expensive;
214760;crucial.;
215194;needed;
215804;it’s normal;
216035;routine;
216725;t is normall;
216940;t's expected;
217494;their responsibility;
217798;responsibility;
218608;often;
218817;your job as a parent;
219881;can evict;
220109;can be;
221491;typical;
221928;one has to;
222301;sad;
223054;thrifty;
223273;you;
226018;okay i;
228879;you are supposed to;
229021;teachers are supposed to;
230116;hard;
230610;expected that pawn shops;
232062;dads are expected;
232104;possible;1
232571;;
233401;a great way;
233606;allowable;
233898;mature;
234159;has a right;
234290;parents;
237059;it takes courage;
237305;you should expect to;
238402;people will think;
238741;fine to consider;
238899;expected that doctors and nurses;
239092;doctors;
239211;moms and dads are expected;
239617;instinctive;
240846;makes you;
242094;an important life event;
243148;supervisors should;
244200;be;
245062;good for a child;
245071;the right thing to do.;
245534;it requires;
247860;a relief;
248006;expected that people will;
248325;get demoted;
248965;kids are expected to;
249353;you should only;
253811;people sometimes;
255073;it might;
256008;friends should;
257983;fortune;
258979;grandchildren are expected;
260360;you should expect;
261461;you should always expect;
261964;as a parent, you need to;
261969;be sure;
263176;okay if you don't;
263406;good discipline;
263768;controlling;
263981;still appropriate;
264128;unethical;
266064;should always.;
266684;should  be allowed;
267396;important.;
268680;a right.;
272105;necessary;
273451;people appreciate;
273653;doctors are expected to;
276528;rational;
276560;have to;
278600;acceptabe;
279842;people;
280785;are supposed to;
281568;perfectly normal and okay.;
281915;couples are expected to;
281920;often do;
282957;adults should;
283177;expected that your significant other;
283593;exciting;
284327;students are expected;
286180;people shouldn't;
288174;people in relationships are expected;
288689;expected to keep up with them;
290098;good and expected;
290125;understandable and okay;
290451;considerate;
290609;your friends should;
291372;its appropriate;
292023;key;
292971;not unreasonable;
295383;be okay;
